corpus,model,predictor,VIF_descriptive
provo,long_spillover,zipf_freq,3.1702652533221563
provo,long_spillover,word_length,2.5380045142783043
provo,long_spillover,is_sentence_final,1.0586848481889992
provo,long_spillover,log_word_position,1.5926530906107264
provo,long_spillover,is_text_position_1,5.98450632244306
provo,long_spillover,is_text_position_2,3.569720257029011
provo,long_spillover,zipf_freq_lag1,4.41366250113742
provo,long_spillover,word_length_lag1,2.749321710587349
provo,long_spillover,is_sentence_final_lag1,1.0433604167472084
provo,long_spillover,zipf_freq_lag2,5.499260586270318
provo,long_spillover,word_length_lag2,2.921159978563751
provo,long_spillover,is_sentence_final_lag2,1.046046747897454
provo,long_spillover,surprisal,1.7227494589110093
provo,long_spillover,surprisal_lag1,1.8023208048162458
provo,long_spillover,surprisal_lag2,1.8102877415276195
provo,matched_spillover,zipf_freq,3.1702652533221563
provo,matched_spillover,word_length,2.5380045142783043
provo,matched_spillover,is_sentence_final,1.0586848481889992
provo,matched_spillover,log_word_position,1.5926530906107264
provo,matched_spillover,is_text_position_1,5.98450632244306
provo,matched_spillover,is_text_position_2,3.569720257029011
provo,matched_spillover,zipf_freq_lag1,4.41366250113742
provo,matched_spillover,word_length_lag1,2.749321710587349
provo,matched_spillover,is_sentence_final_lag1,1.0433604167472084
provo,matched_spillover,zipf_freq_lag2,5.499260586270318
provo,matched_spillover,word_length_lag2,2.921159978563751
provo,matched_spillover,is_sentence_final_lag2,1.046046747897454
provo,matched_spillover,surprisal_matched_context,1.7227494589110093
provo,matched_spillover,surprisal_matched_context_lag1,1.8023208048162458
provo,matched_spillover,surprisal_matched_context_lag2,1.8102877415276195
natural_stories,long_spillover,zipf_freq,2.5317463086353404
natural_stories,long_spillover,word_length,2.2629650796037692
natural_stories,long_spillover,is_sentence_final,1.028755570415909
natural_stories,long_spillover,log_word_position,1.0620499011580131
natural_stories,long_spillover,is_text_position_1,1.2134703326345784
natural_stories,long_spillover,is_text_position_2,1.1145239982645838
natural_stories,long_spillover,zipf_freq_lag1,2.604608683704556
natural_stories,long_spillover,word_length_lag1,2.263650877547791
natural_stories,long_spillover,is_sentence_final_lag1,1.0451060194208344
natural_stories,long_spillover,zipf_freq_lag2,2.6162849986362873
natural_stories,long_spillover,word_length_lag2,2.280868390453223
natural_stories,long_spillover,is_sentence_final_lag2,1.0445098655720906
natural_stories,long_spillover,surprisal,1.4541140300165483
natural_stories,long_spillover,surprisal_lag1,1.4586161067684025
natural_stories,long_spillover,surprisal_lag2,1.4378022136388817
natural_stories,matched_spillover,zipf_freq,2.619467386767638
natural_stories,matched_spillover,word_length,2.255385813459584
natural_stories,matched_spillover,is_sentence_final,1.0282235893586458
natural_stories,matched_spillover,log_word_position,1.0574870251797877
natural_stories,matched_spillover,is_text_position_1,1.2186990475581798
natural_stories,matched_spillover,is_text_position_2,1.116871769194132
natural_stories,matched_spillover,zipf_freq_lag1,2.698437059900814
natural_stories,matched_spillover,word_length_lag1,2.2550944298454403
natural_stories,matched_spillover,is_sentence_final_lag1,1.0511018827542893
natural_stories,matched_spillover,zipf_freq_lag2,2.703916462955185
natural_stories,matched_spillover,word_length_lag2,2.2728010040412348
natural_stories,matched_spillover,is_sentence_final_lag2,1.0506884292132543
natural_stories,matched_spillover,surprisal_matched_context,1.5353524272665728
natural_stories,matched_spillover,surprisal_matched_context_lag1,1.5418185772130226
natural_stories,matched_spillover,surprisal_matched_context_lag2,1.5093742057037005
