Corpus,Model,Held-out R2,RMSE (log ms),Delta R2 (pp),95% interval (pp)
Provo FFD,Controls,0.1793378292253791,0.0958131955499462,0.0,"[0.00, 0.00]"
Provo FFD,"1,024: current",0.1905645303267027,0.0951555739860737,1.12267011013236,"[0.37, 1.86]"
Provo FFD,"1,024: current + spillover",0.194143367825558,0.0949449805499778,1.48055386001789,"[0.54, 2.35]"
Provo FFD,128: current,0.1905645303267027,0.0951555739860737,1.12267011013236,"[0.37, 1.86]"
Provo FFD,128: current + spillover,0.194143367825558,0.0949449805499778,1.48055386001789,"[0.54, 2.35]"
Natural Stories SPR,Controls,0.3655921084448894,0.0920786715165809,0.0,"[0.00, 0.00]"
Natural Stories SPR,"1,024: current",0.3942103809808892,0.0899778620837952,2.86182725359998,"[1.67, 4.00]"
Natural Stories SPR,"1,024: current + spillover",0.4093969650155081,0.0888428728678817,4.38048565706187,"[2.34, 6.34]"
Natural Stories SPR,128: current,0.3945483894355733,0.0899527564029433,2.8956280990683902,"[1.43, 4.19]"
Natural Stories SPR,128: current + spillover,0.4071496733864502,0.0890117394894251,4.15575649415608,"[1.80, 6.00]"
