hidden_row_idx,row_uid,text_id,word_position,word,word_clean,primary_RT,log_primary_RT,surprisal,surprisal_z,zipf_freq,zipf_freq_z,word_length,word_length_z,is_sentence_final,is_sentence_final_z,start_token_idx,end_token_idx,hidden_token_idx,n_tokens,hidden_context_size,hidden_context_stride,RT_prime,RT_resid_controls_oof,controls_oof_pred,controls_surprisal_oof_pred
343,natural_stories:9:344,9,344,'Admiral,'admiral,426.0921052631579,6.054655532437386,12.052145957946776,1.5506044474882406,4.0,-1.3175621739467678,8,1.5263686884772176,0,-0.22791587997408858,449,452,452,4,128,64,6.004637990844944,0.19274648999554866,5.861909042441837,5.880244251948879
310,natural_stories:9:311,9,311,"'admiral',",'admiral',419.62820512820514,6.039369093348372,25.772293090820312,4.752589125902412,4.0,-1.3175621739467678,9,1.9590115340603085,0,-0.22791587997408858,406,410,410,5,128,64,5.9797834815901005,0.1684519451366473,5.870917148211725,5.963820810110409
1983,natural_stories:6:946,6,946,'Ah,'ah,323.9634146341463,5.78063059162079,10.262099266052246,1.1328463851596617,4.63,-0.8543173128175996,3,-0.6368455394382371,0,-0.22791587997408858,1157,1158,1158,2,128,64,5.785823580631945,-0.03148313639109812,5.812113728011888,5.837869572686294
3021,natural_stories:8:885,8,885,'Based,'based,351.98571428571427,5.863590590358943,13.901920318603516,1.982301651897575,5.51,-0.20724512584352345,6,0.6610829973110357,0,-0.22791587997408858,1082,1083,1083,2,128,64,5.8503742231607285,0.03936896540029089,5.8242216249586525,5.874379220992942
360,natural_stories:9:361,9,361,'broken','broken',406.4266666666667,6.0074035109094845,21.978700637817383,3.8672469504122753,4.88,-0.6704899869726916,8,1.5263686884772176,0,-0.22791587997408858,475,477,477,3,128,64,5.9676808236051615,0.15486471391828438,5.8525387969912,5.9322909628753955
2077,natural_stories:6:1040,6,1040,'Budge,'budge,349.49367088607596,5.8564854524571786,23.24347686767578,4.162418282790024,3.23,-1.8837503375490843,6,0.6610829973110357,0,-0.22791587997408858,1278,1280,1280,3,128,64,5.816596053694291,0.00020510171640086838,5.856280350740778,5.955425774113957
3832,natural_stories:1:716,1,716,'But,'but,341.77647058823527,5.834156928605187,7.988399028778076,0.6022140783373248,6.63,0.6163012939416646,4,-0.20420269385514614,0,-0.22791587997408858,852,853,853,2,128,64,5.8531792435598735,0.035183700302920506,5.798973228302266,5.823463847848906
4579,natural_stories:4:390,4,390,'Come,'come,352.1818181818182,5.86414757116857,6.617476463317871,0.28227049410431404,5.78,-0.008711613931022452,5,0.2284401517279448,0,-0.22791587997408858,450,451,451,2,128,64,5.863657922610949,0.0521578613086362,5.811989709859934,5.818576245840836
6116,natural_stories:2:842,2,842,"'Come,",'come,343.1847826086956,5.83826902691252,15.56782054901123,2.371086623507056,5.78,-0.008711613931022452,5,0.2284401517279448,0,-0.22791587997408858,986,988,988,3,128,64,5.837779378354899,0.018163662264206515,5.820105364648313,5.883780559324181
2742,natural_stories:8:606,8,606,'confessions','confessions',383.958904109589,5.950535526312674,18.8458251953125,3.1361017907335333,3.53,-1.6631575465351949,13,3.6895829163926717,0,-0.22791587997408858,747,750,750,4,128,64,5.847179245805383,0.039545475442476,5.910990050870198,5.962588834288584
