hidden_row_idx,row_uid,text_id,word_position,word,word_clean,primary_RT,log_primary_RT,surprisal,surprisal_z,zipf_freq,zipf_freq_z,word_length,word_length_z,is_sentence_final,is_sentence_final_z,start_token_idx,end_token_idx,hidden_token_idx,n_tokens,RT_prime,RT_resid_controls_oof,controls_oof_pred,controls_surprisal_oof_pred
1,provo:1:3,1,3,now,now,182.76666666666668,5.208210293741893,9.602639198303224,0.7129459029407655,6.18,0.3331024572555055,3,-0.6912821334247348,0,-0.2088879996334169,1,1,1,1,5.224694479440398,-0.10693942318715166,5.315149716929045,5.325850492045771
2,provo:1:4,1,4,rumblings,rumblings,193.53333333333333,5.26544976292242,21.732053756713867,3.2806225671012217,2.59,-2.2946953024026873,9,1.6811476328741586,0,-0.2088879996334169,2,4,4,3,5.173412176252037,-0.15989699683439706,5.425346759756817,5.446437688773925
3,provo:1:5,1,5,that,that,209.7962962962963,5.3461370423092145,1.4818065166473389,-1.0061537675194763,7.01,0.9406434434717452,4,-0.2958771723749192,0,-0.2088879996334169,5,5,5,1,5.382037100071654,0.0488595520654167,5.297277490243798,5.292271666446771
4,provo:1:6,1,6,Apple,apple,198.56521739130432,5.291117597255849,8.228249549865723,0.42200125670393335,4.76,-0.706305013138543,5,0.0995277886748964,0,-0.2088879996334169,6,6,6,1,5.265563938443052,-0.06643068159475529,5.357548278850604,5.357293076491564
5,provo:1:7,1,7,might,might,223.8904109589041,5.411156695349067,4.204497814178467,-0.4297870455546626,5.66,-0.047525630494427436,5,0.0995277886748964,0,-0.2088879996334169,7,7,7,1,5.409233760489275,0.07644241447341305,5.334714280875654,5.329266182516375
6,provo:1:8,1,8,soon,soon,204.0,5.318119993844216,4.537541389465332,-0.3592850264922765,5.32,-0.2963978417155375,4,-0.2958771723749192,0,-0.2088879996334169,8,8,8,1,5.309646803294903,-0.022034670374766918,5.340154664218983,5.333882903473962
7,provo:1:9,1,9,invade,invade,216.35064935064935,5.376900468056033,14.264548301696776,1.6998257855250836,3.61,-1.5480786687393568,6,0.49493274972471196,0,-0.2088879996334169,9,9,9,1,5.318775088610563,-0.013010379654216031,5.389910847710249,5.398361053202067
8,provo:1:10,1,10,the,the,199.79310344827587,5.297282348342821,1.1605758666992188,-1.0741551075439995,7.73,1.4676669495870378,3,-0.6912821334247348,0,-0.2088879996334169,10,10,10,1,5.354463891960388,0.021457850148413726,5.275824498194408,5.273879549489954
9,provo:1:11,1,11,smart,smart,241.3,5.4860409726309864,9.46038818359375,0.6828327751254257,4.83,-0.6550666167106671,5,0.0995277886748964,0,-0.2088879996334169,11,11,11,1,5.462325259014535,0.130268671400656,5.35577230123033,5.3588959818946895
10,provo:1:12,1,12,watch,watch,243.9857142857143,5.497109675569833,6.052783012390137,-0.03852341536811665,5.34,-0.28175829987900197,5,0.0995277886748964,0,-0.2088879996334169,12,12,12,1,5.48678470552675,0.15427663985864104,5.342833035711192,5.340253730988284
