corpus,layer,n_words,n_sae_features_available,n_sae_features_selected_final,n_sae_features_selected_stable_60pct,heldout_r2_controls,heldout_r2_controls_surprisal,heldout_r2_controls_sae,heldout_r2_combined,heldout_delta_r2_surprisal,heldout_delta_r2_sae_over_surprisal,heldout_delta_r2_sae_over_controls,lasso_alpha_sae_mean,lasso_alpha_combined_mean,lasso_alpha_combined_final,r_l0_rt,p_l0_rt,controls_ci_low,controls_ci_high,controls_surprisal_ci_low,controls_surprisal_ci_high,controls_sae_ci_low,controls_sae_ci_high,combined_ci_low,combined_ci_high,delta_surprisal_ci_low,delta_surprisal_ci_high,delta_sae_over_surprisal_ci_low,delta_sae_over_surprisal_ci_high,delta_sae_over_controls_ci_low,delta_sae_over_controls_ci_high
provo,1,2630,512,50,27,0.14571142444184648,0.15300479358170915,0.18443031331663884,0.19324742361855407,0.007293369139862671,0.04024263003684492,0.038718888874792357,0.0044857799195367806,0.0044857799195367806,0.003455107294592218,-0.030512238985032886,0.11772470867437276,0.11888110787553731,0.16932200361552846,0.12406885184210763,0.1775312185401131,0.1551608676249175,0.2100143144093779,0.1640713214975714,0.2186066973816331,0.0010684620575526437,0.013363067977506237,0.0259987793958251,0.05454643454950917,0.025366229706012065,0.05217383780431459
provo,2,2630,512,56,35,0.14571142444184648,0.15300479358170915,0.18535377539106324,0.19204035471487457,0.007293369139862671,0.03903556113316542,0.039642350949216754,0.004166996218004554,0.004166996218004554,0.003455107294592218,-0.02462457339263357,0.20679553246730198,0.11888110787553731,0.16932200361552846,0.12406885184210763,0.1775312185401131,0.15681858922717504,0.2123204357089165,0.1630902181889111,0.21892565721383378,0.0010684620575526437,0.013363067977506237,0.026722539449354276,0.051599901580255264,0.028204883341500505,0.050872065700543104
provo,3,2630,512,172,58,0.14571142444184648,0.15300479358170915,0.19343345280082969,0.20211048934759412,0.007293369139862671,0.04910569576588497,0.047722028358983204,0.004248483611732669,0.004011187303928557,0.0019144819761699576,-0.0207501281081212,0.28744270682951967,0.11888110787553731,0.16932200361552846,0.12406885184210763,0.1775312185401131,0.16288000933313032,0.22006560927487906,0.17285138877893,0.22842580303662577,0.0010684620575526437,0.013363067977506237,0.033386870882198015,0.06329448461359853,0.033051838495986294,0.06154024887808989
provo,4,2630,512,131,85,0.14571142444184648,0.15300479358170915,0.184124290411263,0.19122026526483138,0.007293369139862671,0.038215471683122226,0.03841286596941651,0.0037530612130938666,0.0035157649052897553,0.0025719138090593446,-0.06542684317050752,0.000787015094039502,0.11888110787553731,0.16932200361552846,0.12406885184210763,0.1775312185401131,0.15452764156388255,0.2120672416298925,0.16233555320868923,0.21839807080730453,0.0010684620575526437,0.013363067977506237,0.02359924098269264,0.052644732158295765,0.024791941686009095,0.05184459341651147
provo,5,2630,512,77,43,0.14571142444184648,0.15300479358170915,0.1647918604693126,0.16910787012974082,0.007293369139862671,0.01610307654803167,0.01908043602746612,0.0044857799195367806,0.0044857799195367806,0.003455107294592218,-0.09161610195937953,2.5254669949616756e-06,0.11888110787553731,0.16932200361552846,0.12406885184210763,0.1775312185401131,0.13280335239553243,0.19338757823288125,0.13680805214976635,0.1978349471402804,0.0010684620575526437,0.013363067977506237,-0.002037265609693245,0.033582195315279645,0.0031762100689816113,0.03497122768559673
provo,6,2630,512,63,39,0.14571142444184648,0.15300479358170915,0.1679748705323807,0.1739566232562162,0.007293369139862671,0.02095182967450704,0.02226344609053421,0.0044042925258086655,0.0044042925258086655,0.003455107294592218,-0.1138493548713411,4.773954898302108e-09,0.11888110787553731,0.16932200361552846,0.12406885184210763,0.1775312185401131,0.14093583584445918,0.19306277393586166,0.14687856642328373,0.1981989756126739,0.0010684620575526437,0.013363067977506237,0.00969771064007585,0.032654512550791805,0.012420110819734726,0.03292209580801463
provo,7,2630,512,60,28,0.14571142444184648,0.15300479358170915,0.1509400343657602,0.1602471263491051,0.007293369139862671,0.0072423327673959426,0.0052286099239137185,0.004960372535145004,0.004723076227340893,0.003455107294592218,-0.07917886856353268,4.802746149022832e-05,0.11888110787553731,0.16932200361552846,0.12406885184210763,0.1775312185401131,0.12219768478968163,0.17638212488239138,0.13220538545628222,0.18458471313469052,0.0010684620575526437,0.013363067977506237,-0.0034679693645143033,0.018350928182639295,-0.004080196265647512,0.013846648638822855
provo,8,2630,512,61,24,0.14571142444184648,0.15300479358170915,0.15610870341220007,0.16195277837540734,0.007293369139862671,0.008947984793698183,0.010397278970353585,0.004723076227340892,0.004723076227340892,0.003455107294592218,-0.08043215437724063,3.63433959815913e-05,0.11888110787553731,0.16932200361552846,0.12406885184210763,0.1775312185401131,0.12674713182015138,0.18098283171024532,0.13245385879919525,0.18727426228424746,0.0010684620575526437,0.013363067977506237,0.0006009225172537409,0.017616886284836545,0.0033011333987102986,0.01808567513392203
provo,9,2630,512,24,19,0.14571142444184648,0.15300479358170915,0.15384110318828337,0.15978705826954032,0.007293369139862671,0.006782264687831163,0.008129678746436886,0.005279156236677232,0.004960372535145004,0.004641588833612777,-0.07128414069202224,0.000253578009230294,0.11888110787553731,0.16932200361552846,0.12406885184210763,0.1775312185401131,0.12764316855069172,0.17572050149087218,0.1344876710284842,0.1823379042656774,0.0010684620575526437,0.013363067977506237,-0.0007560670098581022,0.014369271661961457,0.0017653619254788227,0.014431391265216809
provo,10,2630,512,56,22,0.14571142444184648,0.15300479358170915,0.14694632948952135,0.15504297159557434,0.007293369139862671,0.0020381780138651884,0.0012349050476748724,0.006601509635156206,0.004960372535145004,0.003455107294592218,-0.0941140149961764,1.3318682561194714e-06,0.11888110787553731,0.16932200361552846,0.12406885184210763,0.1775312185401131,0.11944413510457633,0.17201693816576716,0.12752414642662824,0.18103413705263824,0.0010684620575526437,0.013363067977506237,-0.006924520972258807,0.0107017144565107,-0.004363860594274315,0.0066754717306431845
