word,word_position,text_id,n_participants,RT,sdRT,gRT,gsdRT,word_clean,zipf_freq,log_unigram_freq,word_length,log_RT,log_gRT,corpus,primary_RT,log_primary_RT,row_uid,surprisal,hidden_row_idx,token_ids_str,n_tokens,start_token_idx,end_token_idx,hidden_token_idx,hidden_context_size,hidden_context_stride
'Admiral,344,9,76,426.0921052631579,174.94777717033764,395.0756904370715,1.4760115762985404,'admiral,4.0,-4.999995657076895,8,6.054655532437386,5.979077367903769,natural_stories,426.0921052631579,6.054655532437386,natural_stories:9:344,12.052145957946777,343,"[705, 2782, 10793, 282]",4,449,452,452,128,64
"'admiral',",311,9,78,419.62820512820514,155.77840646704513,392.44306045472246,1.4500766813076098,'admiral',4.0,-4.999995657076895,9,6.039369093348372,5.972391457793786,natural_stories,419.62820512820514,6.039369093348372,natural_stories:9:311,25.772293090820312,310,"[705, 324, 10793, 282, 3256]",5,406,410,410,128,64
'Ah,946,6,82,323.9634146341463,133.0328507765175,302.9366558017507,1.4259078068705664,'ah,4.63,-4.369571107893071,3,5.78063059162079,5.71352372689406,natural_stories,323.9634146341463,5.78063059162079,natural_stories:6:946,10.262099266052246,1983,"[705, 10910]",2,1157,1158,1158,128,64
'Based,885,8,70,351.98571428571427,130.42689027192262,332.8907663097271,1.3854071874010023,'based,5.51,-3.4894548557519016,6,5.863590590358943,5.8078144070672115,natural_stories,351.98571428571427,5.863590590358943,natural_stories:8:885,13.901920318603516,3021,"[705, 15001]",2,1082,1083,1083,128,64
'broken',361,9,75,406.4266666666667,164.7808678652179,374.9498693612237,1.5051666547409426,'broken',4.88,-4.119757651911903,8,6.0074035109094845,5.926792335330812,natural_stories,406.4266666666667,6.0074035109094845,natural_stories:9:361,21.978700637817383,360,"[705, 25826, 6]",3,475,477,477,128,64
'Budge,1040,6,79,349.49367088607596,161.62348406235523,317.7287568816916,1.546483594772421,'budge,3.23,-5.769525532638841,6,5.8564854524571786,5.76119805301703,natural_stories,349.49367088607596,5.8564854524571786,natural_stories:6:1040,23.24347686767578,2077,"[705, 33, 12587]",3,1278,1280,1280,128,64
'But,716,1,85,341.77647058823527,249.62402092092077,304.2410044195241,1.5254329946459426,'but,6.63,-2.369572114804145,4,5.834156928605187,5.717820165019774,natural_stories,341.77647058823527,5.834156928605187,natural_stories:1:716,7.988399028778076,3832,"[705, 1537]",2,852,853,853,128,64
'Come,390,4,88,352.1818181818182,117.23888035937816,334.41640016231213,1.3813511605949838,'come,5.78,-3.2196826158375527,5,5.86414757116857,5.812386923555535,natural_stories,352.1818181818182,5.86414757116857,natural_stories:4:390,6.617476463317871,4579,"[705, 16773]",2,450,451,451,128,64
"'Come,",842,2,92,343.1847826086956,140.36138047384563,319.43243563094956,1.4551810783792916,'come,5.78,-3.2196826158375527,5,5.83826902691252,5.766545782381142,natural_stories,343.1847826086956,5.83826902691252,natural_stories:2:842,15.56782054901123,6116,"[705, 16773, 11]",3,986,988,988,128,64
'confessions',606,8,73,383.958904109589,130.0418136126655,363.23017635159226,1.4029863592805527,'confessions',3.53,-5.469787490939204,13,5.950535526312674,5.895036727944279,natural_stories,383.958904109589,5.950535526312674,natural_stories:8:606,18.8458251953125,2742,"[705, 10414, 6202, 6]",4,747,750,750,128,64
